subbasin_id,real_stream_name,USGS_code
58328,Beaver Creek (Bowdoin) at Mouth,6167500
58346,Big Sandy Creek at Mouth,6139500
58363,Battle Creek at International Boundary,6149500
58425,Clear Creek at Mouth,6142400
58290,Frenchman River at International Boundary,6164000
58356,Lodge Creek at International Boundary,6145500
58408,Milk River at Western Crossing of International Boundary,6133000
58643,North Fork Milk River above St. Mary Canal,6133500
58418,People's Creek at Mouth,6154550
58292,Rocky Creek at Mouth,6171000
58213,"St. Mary River near Babb, MT",5017500
58208,St. Mary River at International Boundary,5020500
58223,Swiftcurrent Creek at Sherburne Reservoir,5014500
58308,Milk River at Eastern Crossing of International Boundary,6135000
