,Cal KGE,Val KGE,Cal Bias,Val Bias
Swiftcurrent Creek at Sherburne Reservoir,0.21159079346052523,0.24927798418979763,-59.0435848952088,-55.999335495564914
"St. Mary River near Babb, MT",0.7745618645627931,0.8171453192923638,-17.330390621080348,-12.26944635749745
St. Mary River at International Boundary,0.8080717497553429,0.8614057715216522,-14.306133574737023,-7.281741350609722
Milk River at Western Crossing of International Boundary,0.6470600287135464,0.6471591596243444,5.410058405885163,20.0850099870603
North Fork Milk River above St Mary Canal near Browning,0.6268157459043613,0.5380398320533626,-10.395459910135777,1.7078207840389634
Milk River at Eastern Crossing,0.5939227973760837,-1.144025631898781,6.028003142637531,78.8636079947544
Big Sandy Creek at Mouth,-0.16213956842180144,-4.613620895824286,95.72838227584461,338.8831917800892
Clear Creek at Mouth,-1.9676897538465887,-0.487347225290671,85.76130860158787,68.5690493852925
Lodge Creek at International Boundary,-0.4631088334064244,-3.2268650339931604,118.60029371850767,380.83493477638376
Battle Creek at International Boundary,-1.5746182739798282,-4.609801957059086,189.45653411715028,382.2576110328062
Peoples Creek at Mouth,-0.4666548699740798,0.0032704619361565435,56.24654259759564,68.08157773158904
Frenchman River at International Boundary,-0.17181787086708988,-1.666123038488775,85.93041559070541,208.39674742029675
Beaver Creek Bowdoin,0.6255510144929428,0.3700329703657652,15.339362537840898,32.39775644791722
Rock Creek at Mouth,-1.8367110904228445,-1.730924066163741,201.79515419079678,226.98164570518173
